Nombre ministro,Cargo,Perfil de IG,Link
Claudio Alvarado Andrade,Interior y Segegob (Biministro),@ministroalvarado,Link
Francisco Pérez Mackenna,Relaciones Exteriores,@ministroperezmackenna,Link
Fernando Barros Tocornal,Defensa Nacional,@ministrobarros,Link
Jorge Quiroz Castro,Hacienda,@ministroquiroz,Link
Martín Arrau García-Huidobro,Seguridad Pública,@martin.arrau,Link
José García Ruminot,Segpres,@jgarciaruminot,Link
Daniel Mas Valdés,Economía / Minería (Biministro),@danielmasvaldes,Link
María Jesús Wulf Le May,Desarrollo Social y Familia,@ministrawulf,Link
María Paz Arzola González,Educación,@ministraarzola,Link
Fernando Rabat Celis,Justicia y DD.HH.,@ministrorabat,Link
Tomás Rau Binder,Trabajo y Previsión Social,@ministrorau,Link
Louis de Grange Concha,OO.PP. / Transportes (Biministro),@ministrodegrange,Link
May Chomali Garib,Salud,@ministrachomali,Link
Iván Poduje Capdeville,Vivienda y Urbanismo,@ipoduje,Link
Jaime Campos Quiroga,Agricultura,@ministrojaimecampos,Link
Catalina Parot Donoso,Bienes Nacionales,@ministraparot,Link
Ximena Rincón González,Energía,@ximenarincon,Link
Francisca Toledo Echegaray,Medio Ambiente,@ministratoledo,Link
Natalia Duco Soler,Deporte,@nataliaduco,Link
Judith Marín Morales,Mujer y Equidad de Género,@judithmarinm,Link
Francisco Undurraga Gazitúa,"Culturas, Artes y Patrimonio",@undurragapancho,Link
Ximena Lincolao Pilquián,"Ciencia, Tecnología e Innovación",@ximenalincolao,Link
